Model,MAE,MSE,RMSE,AUC,F1@5,F1@10,F1@20,F1@50,Precision@5,Precision@10,Precision@20,Precision@50,Recall@5,Recall@10,Recall@20,Recall@50,MAP,MRR,NDCG@5,NDCG@10,NDCG@20,NDCG@50,Train (s),Test (s)
MostPop,2.6249117460058313,10.91528499936088,2.911974888559607,0.6617265846438759,0.009879792708830508,0.011197905492193802,0.011296510701477542,0.009750393379672095,0.009220013109023385,0.008083897749617704,0.006991479134804519,0.0053834389337993485,0.015201589324743992,0.0276398235348812,0.047353942081490075,0.0885533066098343,0.01581875952551808,0.037274264594970144,0.01450890118033148,0.018858681933104467,0.02517059322928757,0.03613608213599891,0.04418468475341797,9.543968200683594
UserKNN,1.3627696802722415,3.3023896866494002,1.5193486932342022,0.39217659608880073,0.000941907605661156,0.0010119946412663191,0.0011401303841585282,0.0013075119053712536,0.0006991479134804458,0.0006336027965916542,0.0006663753550360491,0.0006991479134804462,0.001645910712985216,0.003397516473767293,0.005579673888609872,0.015157527455430017,0.0029707216332078585,0.005304656376487852,0.001151165670033125,0.0017859983850255954,0.0025518916781437926,0.004874344015135747,0.7673673629760742,47.13251042366028
BPR,6.626602664673173,47.21257859680425,6.717895835135745,0.720610797689683,0.013458148561939838,0.013921972803611444,0.014080387516733425,0.012311405253390514,0.012628359187240605,0.010377976840725443,0.008815818221542475,0.006816692156434237,0.02058988478913688,0.032565011768924346,0.0577040573400198,0.10965378078980759,0.019834528755064355,0.043792726431989,0.01869620581731393,0.022856210677854576,0.030800665795711883,0.044790071776525664,1.685805082321167,11.41035795211792
MF,1.303477035823498,2.9515314536585016,1.4464631955578593,0.5144388287995344,0.0011230102064522399,0.001314464996686848,0.0015685377024894389,0.0013625521851863664,0.0012235088485907804,0.0010487218702206686,0.001005025125628139,0.000764693030369238,0.0012180960554542017,0.0023228418182729385,0.005372261354056517,0.010106502574115578,0.002473140445673167,0.006213925691908377,0.0013774305436870906,0.0017431672162432179,0.002742412225932323,0.004095730944277031,0.22445154190063477,12.532423257827759
PMF,1.538984480608636,3.83725077773022,1.6934768291009763,0.5586581540378157,0.002570365953068942,0.0029410825816259772,0.0027344058564176734,0.0024044771214797324,0.002097443740441337,0.001966353506663751,0.0016277037360716586,0.0013109023377758289,0.00457748075729286,0.008409493730118596,0.012780896730536232,0.023623695897950815,0.004933400676935737,0.009592754534328233,0.0033971366250497423,0.0048579592495441885,0.006286839510465601,0.009114490548422232,2.204453706741333,13.334976434707642
NMF,1.550732262841006,3.833796303433658,1.6988110158447387,0.5389254046546329,0.0005573541841839854,0.0006900706526679978,0.0008346086497780577,0.0011278949716668335,0.00048066419051780634,0.0005243609351103344,0.0005243609351103342,0.000620493773213896,0.0007901827980482122,0.0014535440569061356,0.003155665198616529,0.010880857080148323,0.0021183386098998246,0.0038832042895191837,0.0005335681830226902,0.0008406291625221744,0.00138598915800754,0.003335771657845519,0.6737608909606934,11.751162767410278
WMF,5.987825978308748,40.17853723219556,6.136381780163163,0.6611950903243397,0.02886941906165757,0.025666941040367486,0.021189010380720623,0.014584137622945203,0.024776054183963486,0.018112300633602762,0.01304347826086941,0.008031461656106617,0.04639992665446353,0.06404361449301448,0.08922634126501575,0.1347791897587158,0.03745294469058566,0.0759903707469925,0.042068616275811384,0.04830360778085442,0.05652528768685571,0.0686815213317557,54.05516743659973,13.387284517288208
PF,6.755859707927535,48.93754015432503,6.845200346277937,0.6526035597544947,0.011253797903495667,0.01093495976717483,0.01034799099899388,0.008258759117987097,0.010268734979244068,0.007974655888136376,0.0064889665719904425,0.004579418833296854,0.017525136439426225,0.026926591890413486,0.042545913465183695,0.07377770699864877,0.015348256004385474,0.03400086736257019,0.015571091445469983,0.01880118536719637,0.023910899981860186,0.03226933180419592,31.93203568458557,13.313232421875
NeuMF,6.763672023017326,49.04359556283287,6.852295282341582,0.7056703625813548,0.011539418801263048,0.013013154577400092,0.01253172536314031,0.011226194353015398,0.010487218702206716,0.009438496831986087,0.007821717282062515,0.006200568057679605,0.01766915551719393,0.03147704583262526,0.05095169484297093,0.10290311419954734,0.018251552485254136,0.04114484893134845,0.01627059119402388,0.021462640555355534,0.02785915714274145,0.041462664710166575,28.44986367225647,18.91677689552307
VAECF,6.763672023017326,49.04359556283287,6.852295282341582,0.7703837447470209,0.017395588931788074,0.018495088459210537,0.017527714748436018,0.014336405327740498,0.01529386060738484,0.013218265239239791,0.010858641031243088,0.007904741096788279,0.028246617478104283,0.04695878214883922,0.07396116219344759,0.13363708533008195,0.025923451233301205,0.05380825158082153,0.0245193116853283,0.03139335819936384,0.04022283129511843,0.05588630018083992,20.619308948516846,19.505473613739014
